"year","AW","AG","AE","AF","DZ","AZ","AL","AM","AD","AO","AS","AR","AU","AT","AI","BH","BB","BW","BM","BE","BS","BD","BZ","BA","BO","MM","BJ","BY","SB","BR","BT","BG","BN","BI","CA","KH","TD","LK","CG","CD","CN","CL","KY","CM","KM","CO","MP","CR","CF","CU","CV","CK","CY","DK","DJ","DM","DO","EC","EG","IE","GQ","EE","ER","SV","ET","CZ","FI","FJ","FM","FO","PF","FR","GM","GA","GE","GH","GI","GD","GG","GL","DE","GU","GR","GT","GN","GY","PS","HT","HK","HN","HR","HU","IS","ID","IM","IN","IR","IL","IT","CI","IQ","JP","JE","JM","JO","KE","KG","KP","KI","KR","KW","NA","KZ","LA","LB","LV","LT","LR","SK","LI","LS","LU","LY","MG","MO","MD","MN","MS","MW","ME","MK","ML","MC","MA","MU","MR","MT","OM","MV","MX","MY","MZ","NC","NE","VU","NG","NL","SX","NO","NP","NR","SR","NI","NZ","PY","PE","PK","PL","PA","PT","PG","PW","GW","QA","RS","MH","MF","RO","PH","PR","RU","RW","SA","PM","KN","SC","ZA","SN","SH","SI","SL","SM","SG","SO","ES","LC","SD","SE","SY","CH","BL","TT","TH","TJ","TC","TO","TG","ST","TN","TL","TR","TV","TW","TM","TZ","CW","UG","GB","UA","US","BF","UY","UZ","VC","VE","VG","VN","VI","NA.1","WF","EH","WS","SZ","YE","ZM","ZW"
1966,58632,60545,156574,11262324,12339140,4701730,1932963,2273695,14380,5201250,26700,22611604,11655083,7322066,5907,196706,236227,545965,49804,9507800,145065,61496046,110115,3541000,3945474,25398927,2367951,8694009,147000,85017480,264478,8258057,106629,3253610,20448496,6779482,3419366,11533482,1151207,19343383,735903786,8685954,8831,6216951,211571,19201732,10819,1538442,1685107,7985316,239230,19226,604935,4797500,149283,64948,3926395,5272639,30986381,2884000,256349,1300177,1773393,3128206,27307798,9815359,4580869,474000,50244,37300,98562,50287349,425546,481519,4518103,8245481,25458,93579,50782,40851,76206173,79200,8613651,4842773,3376211,656528,1235665,4179400,3629900,2413644,4155830,10184561,195610,112964506,49448,506123216,25807476,2641123,52331600,4563607,8240451,99790308,66944,1820082,1107384,9863639,2655353,12336994,45564,29436000,523259,1106376,12179771,2619267,2121579,2278721,2996683,1243371,4408988,19066,973983,333895,1693925,6200000,231905,3394160,1119400,11723,4023000,496539,1489836,5083886,22677,14414636,774160,1212426,317482,700070,100937,46537832,9899803,8486381,93462,4437620,76132,49495086,12464225,4479,3753628,11057476,6057,345406,1807123,2687550,2228306,11796400,60641899,31532016,1365169,9108800,1991670,11138,598111,77042,7016451,18397,4936,19140783,34304274,2627368,127414772,3358202,5469365,5122,48660,48796,20440487,3856528,5391,1632029,2621656,17725,1934400,3354474,32451975,96065,9913496,7807797,5500483,5996000,2312,952535,33035794,2592754,5686,76456,1690838,69766,4676017,562088,32677758,5633,13321002,1935923,12231389,136036,8640153,54643000,45673640,195576000,5077473,2721207,10529599,86301,9387176,8675,38378468,46200,688539,8300,55886,130240,409941,6624755,3794000,4835691
1967,58316,61825,171745,11537966,12760499,4827284,1984060,2338063,15563,5247469,25100,22934225,11872264,7376998,5951,202182,238224,553541,50548,9556500,151120,62765415,113265,3585000,4040665,25875687,2427334,8786887,151000,87459519,275175,8310226,110971,3330989,20819767,6959721,3495635,11806781,1179760,19941073,755320119,8858908,9102,6335506,217378,19764027,11185,1588717,1733638,8139332,246787,19394,610040,4838800,156868,66238,4049146,5432424,31681188,2900100,259864,1311560,1820319,3232927,27860297,9835109,4605744,485000,51813,37500,102756,50683744,439593,489004,4564785,8490213,25721,93879,51468,42947,76368453,81400,8716441,4942221,3440361,672848,1142636,4266800,3722800,2500689,4174366,10223422,198676,115223251,50209,517586200,26585583,2693585,52667100,4790271,8519282,100825279,67547,1861096,1255058,10191512,2736572,12732263,46382,30131000,575003,1134573,12451717,2674073,2186894,2301371,3033728,1279406,4442238,19446,996380,335012,1759224,6334556,239773,3452263,1149500,11669,4151575,501035,1511816,5193779,22891,14770296,789309,1230542,318573,718430,103810,47995559,10154878,8680909,96094,4534062,78219,50952753,12606517,4875,3786019,11261690,6138,353913,1865490,2728150,2287985,12132200,62282496,31785378,1405486,9103000,2044322,11413,601287,84843,7074296,19008,5033,19284814,35356600,2648961,128183863,3451079,5618198,5191,46730,49888,20997321,3965841,5459,1646912,2662190,17929,1977600,3428839,32850275,97945,10181721,7867931,5680812,6063000,2342,960155,34024249,2672279,5639,78816,1735550,70787,4786986,570960,33411317,5694,13648692,1994131,12607312,138144,8900294,54959000,46111262,197457000,5127935,2748579,10864030,87297,9709552,8946,39463910,49100,706640,8300,62805,133162,420690,6740785,3900000,4995432
1968,58149,63135,190974,11825320,13146267,4945231,2038698,2402358,17216,5350384,28100,23260514,12101660,7415403,5996,207811,239868,561941,51250,9589800,157435,64071965,116293,3627000,4139069,26368073,2488957,8864776,154000,89926300,286206,8369603,115921,3400775,21143100,7142389,3572229,12085281,1209505,20570629,776152777,9029621,9476,6459744,223443,20321665,11563,1638476,1763062,8283933,254303,19918,615664,4867300,164437,67560,4173328,5596925,32337877,2912500,263377,1324437,1857075,3347320,28451255,9851051,4626469,495000,53432,38000,107309,51068762,454105,496853,4606979,8744302,25879,94349,52099,44716,76584401,83800,8740765,5044895,3506216,687477,1000482,4356028,3802700,2591112,4189903,10263542,201245,117530432,50982,529361738,27372872,2746986,52986600,5038277,8807547,101960672,68070,1893477,1382539,10532389,2818308,13150164,47213,30838000,631802,1162779,12691968,2729886,2253719,2322031,3068801,1316907,4471590,19965,1019394,335867,1833726,6473179,247282,3505944,1181000,11633,4272708,505522,1532751,5307348,23142,15137266,804177,1249383,319254,739203,107000,49518803,10409339,8883626,99500,4633063,80571,52449374,12734645,5306,3818983,11473118,6219,361260,1925707,2759000,2349262,12476000,63969987,32034813,1446758,9115050,2098206,11607,611160,93546,7132217,19870,5161,19720984,36424438,2673568,128876498,3547932,5774916,5284,46933,51126,21569468,4073826,5531,1657849,2703603,18333,2012000,3505657,33239301,99400,10457202,7912217,5867053,6132000,2363,963086,35028438,2759277,5609,81249,1781978,71804,4894178,579831,34164759,5755,13962358,2054487,12988137,140302,9170101,55214000,46510301,199399000,5183033,2776607,11232040,88020,10041225,9248,40511528,55700,725304,8400,70578,136151,431797,6859408,4009000,5171817
1969,58424,64475,217858,12122740,13528304,5059334,2100263,2463153,18233,5471641,30400,23600026,12379384,7441055,6041,213596,239321,571874,51906,9612700,164012,65416782,119183,3669000,4240872,26873709,2553162,8946091,158000,92416817,297570,8434172,121434,3460144,21448073,7327872,3649335,12356460,1240372,21178812,798640508,9199122,9986,6590041,230087,20869140,11954,1687100,1794675,8421048,261602,20463,621502,4890687,171981,68689,4298133,5765935,32966239,2925600,266898,1342891,2007110,3469177,28962280,9806577,4623785,506000,55101,38400,108700,51505679,469095,503763,4650335,9009048,26078,94867,52697,45985,77143888,83700,8772764,5151182,3573863,701552,1006458,4447122,3863900,2685322,4200551,10302814,202920,119886474,51767,541459323,28175355,2817051,53317000,5299106,9105567,103171831,68545,1919615,1453541,10887934,2895676,13592210,48052,31544000,690445,1190992,12900122,2786805,2320495,2341871,3101819,1355941,4477625,20526,1043044,337500,1922974,6615873,254436,3549420,1214100,11563,4392979,510001,1553615,5424728,23450,15517155,816027,1269000,322749,760002,110810,51110928,10662303,9092797,104000,4735173,82905,53994532,12883235,5814,3850977,11692022,6500,367553,1987988,2788500,2412181,12829100,65705964,32280848,1488794,9097200,2154447,11804,615749,102844,7190213,20772,5303,20010178,37506719,2722232,129572617,3656796,5938534,5378,47223,52508,22157355,4192724,5603,1666805,2745967,18728,2042500,3584995,33566084,100839,10740137,7968018,6059400,6212000,2381,962927,36049959,2850066,5600,81900,1830381,72722,4996300,588702,34952315,5794,14282297,2116408,13389543,142586,9449977,55461000,46871405,201385000,5242904,2801859,11591490,88238,10388580,9567,41542068,60300,744618,8500,79313,139206,443277,6978155,4123000,5352802
1970,59039,65624,249369,12430623,13931846,5168973,2156612,2519745,19545,5605626,27267,23962313,12660160,7467086,6100,219543,238756,583999,52600,9637800,170323,67331349,122070,3703000,4346218,27392973,2619809,9027198,163000,94930053,309265,8489574,127554,3521913,21749986,7394265,3727238,12618720,1272408,21780955,820403282,9368558,10068,6726733,236983,21429658,12359,1735523,1839245,8542746,268867,20828,627455,4928757,179903,69785,4422755,5939246,33574026,2950100,270435,1363183,2160460,3603907,29468504,9795226,4606307,521000,56822,38600,114000,51954891,484580,514579,4694491,8788945,26239,95410,53287,46431,77783164,86470,8792806,5264207,3643361,714811,1032447,4540576,3959000,2760666,4205389,10337004,204104,122291795,52563,553888763,28994042,2903434,53661100,5579014,9413671,104344973,69002,1943787,1502959,11247182,2963792,14061531,48899,32241000,747502,1219214,13106377,2844851,2383029,2361159,3137562,1396565,4523873,21103,1067136,339174,1999162,6765644,261369,3594517,1247600,11591,4508062,514472,1574407,5546065,23752,15909275,829511,1289420,325569,783221,114572,52775158,10910216,9304375,112000,4840501,85400,55590335,13042840,6481,3877386,11918678,6700,372353,2052544,2828050,2476785,13192800,67491369,32526000,1531038,9044200,2213600,12005,620020,112754,7248285,21714,5450,20252541,38603696,2721754,130245476,3769171,6109051,5475,46116,54106,22739921,4317891,5676,1675739,2789306,19189,2074507,3666949,33876479,102704,11030727,8042803,6258053,6267000,2399,955000,37090871,2938516,5617,83100,1964128,73631,5098627,597574,35758382,5815,14598316,2181272,13806869,144742,9715336,55632000,47235697,203984000,5303777,2823659,11940155,87510,10758017,9828,42576676,63476,764683,8700,89131,142331,455145,7098239,4240661,5514536
1971,59397,66354,288136,12749385,14335388,5283659,2208719,2581671,20550,5777488,27731,24363816,12937200,7500482,6208,225375,240606,599647,53071,9672500,174220,69149652,124890,3761000,4454684,27926302,2689271,9101396,168500,97350239,321288,8536395,136621,3596811,22026400,7387709,3806002,12869417,1305794,22385560,842455678,9532079,10885,6870244,244143,21992579,12972,1785636,1883905,8669625,273418,21285,633419,4963126,188232,70822,4546974,6116773,34183988,2978300,273999,1381459,2208336,3710335,30099662,9824749,4612124,533000,58597,38682,121100,52469295,500576,525930,4741628,9065245,27638,96034,53759,47233,78354709,92287,8831036,5384580,3714679,728990,1059861,4584844,4045300,2855882,4215869,10364869,206092,124739487,53474,566603525,29828937,2996919,54005500,5873709,9732199,105696786,69488,1967012,1556226,11633030,3029219,14526845,49760,32883000,793314,1247444,13324719,2904042,2447921,2381641,3177533,1438780,4556627,21788,1091675,342400,2077381,6920494,263565,3648754,1283400,11851,4630328,519914,1596091,5671505,24063,16313391,841079,1310672,325468,807666,118880,54406901,11146389,9539059,120000,4948667,88100,57239131,13204305,7330,3903039,12154668,6700,376613,2120111,2875300,2544518,13568300,69325921,32777810,1573694,8990450,2272746,12208,623282,121602,7306432,22699,5601,20469658,39718094,2766299,130977408,3880225,6287454,5573,45775,55615,23338080,4450142,5751,1685624,2833646,17872,2112900,3751979,34195056,104904,11329180,8098328,6477116,6343293,2416,961605,38201901,3039443,5788,84300,2021064,74860,5197559,613767,36579964,5836,14918496,2246710,14236867,147399,9952470,55907000,47637239,206827000,5366018,2826042,12334057,87415,11151693,9841,43614366,70937,792629,8500,88949,145356,467416,7251383,4353856,5684187
1972,59421,67016,336325,13079460,14760787,5393681,2263554,2647035,21425,5949453,28202,24779799,13177000,7544201,6318,230800,242445,619351,53260,9709100,178332,70676996,127661,3819000,4565872,28474102,2761407,9169156,174500,99800740,333634,8576200,141500,3529983,22284500,7452154,3886643,13116399,1340458,23007669,863439051,9700788,11680,7021028,251577,22542890,13572,1834796,1927260,8831348,275467,21345,640724,4991596,196978,71860,4671329,6298651,34807417,3024400,277603,1397391,2260187,3791291,30770372,9862158,4639657,544000,60427,38946,124000,52933025,517101,538009,4786475,9352145,28578,96618,53818,48258,78717088,96755,8888628,5509594,3787796,742869,1089572,4679298,4115700,2965146,4225310,10394091,209275,127234652,54877,579509428,30685055,3095893,54365564,6171630,10061506,107188273,70268,1997616,1613551,12044785,3094945,14956211,50637,33505000,841934,1277849,13541694,2964403,2513120,2401244,3213271,1482628,4593433,22240,1116779,346600,2183877,7082430,261202,3703001,1320500,11978,4760666,527678,1617701,5801204,24371,16660670,851334,1332786,319430,834540,122681,55984294,11390426,9809596,125500,5060262,90800,58946321,13340427,8374,3933004,12389131,6800,380797,2182919,2929100,2614104,13954700,71121085,33039545,1616898,8970450,2330190,12416,625361,131145,7337520,23729,5756,20662648,40850141,2847132,131768681,3992121,6472756,5673,45524,56814,23935810,4588696,5827,1694510,2879013,18481,2152400,3840161,34513161,106953,11635707,8122293,6697935,6401400,2434,975199,39276153,3145141,5960,85600,2079704,76595,5303507,629961,37492953,5857,15226039,2313102,14706593,147716,10136422,56079000,48026627,209284000,5433886,2829526,12741848,88717,11515649,10016,44655014,76319,821782,8500,87161,148489,480105,7407075,4471767,5861135
1973,59529,67532,391337,13421301,15197724,5497774,2295691,2712997,23092,6115582,28612,25209829,13380400,7586115,6430,238977,244127,643076,53450,9738400,181985,72382694,130375,3872000,4679923,29226657,2836325,9236465,180500,102281260,346304,8620997,145170,3540066,22559500,7535755,3969803,13351662,1376455,23668471,883019765,9871079,12536,7179499,259299,23069231,14200,1886035,1965058,9001355,277331,20856,649171,5021861,206173,72792,4796148,6485013,35480414,3073200,271301,1410836,2340837,3878991,31445177,9912080,4666081,556000,62731,39481,127000,53372894,534171,560658,4825850,9642482,29120,96857,53827,49024,78950220,105550,8929086,5639011,3862799,755324,1124018,4776144,4212600,3077805,4234664,10425984,212364,129795268,56317,592654058,31567417,3197411,54796843,6465220,10401956,108706797,70989,2036377,1674258,12482054,3161160,15348539,51530,34073000,893534,1308263,13754298,3026848,2578759,2421355,3245551,1528162,4637193,22864,1142460,350450,2312369,7250455,258929,3752827,1360100,11985,4900549,534461,1639236,5935323,24651,16998378,861239,1355793,321838,862646,125665,57557303,11633590,10087915,128500,5175408,93700,60707810,13449003,9400,3960613,12633645,6900,383018,2247502,2992300,2692466,14350300,72911780,33331131,1659952,8975950,2384513,12627,633266,141435,7368646,24806,5915,20827525,41998117,2863420,132556176,4109838,6666928,5774,45269,57530,24549294,4727163,5905,1703373,2925433,18876,2193000,3931655,34836716,109025,11960783,8136774,6926282,6441100,2452,984786,40302225,3242778,6135,86800,2140099,78222,5426213,646155,38503442,5878,15525588,2379578,15201384,146913,10307149,56210000,48367002,211357000,5507594,2834115,13147733,89894,11893035,10178,45736496,84121,851258,8500,85430,149436,493232,7579501,4595292,6001949
1974,59435,67836,453222,13772076,15653200,5599407,2347924,2776539,24807,6111684,29057,25646371,13599100,7599038,6269,248343,245563,671769,53639,9767800,185499,74584661,133027,3925000,4796240,29770683,2914439,9304311,186500,104790608,359331,8678745,151000,3594958,22874700,7610543,4055702,13562004,1414408,24333992,901318065,10041865,13352,7346174,267318,23598134,14596,1937413,2006137,9152866,278769,19860,656814,5045297,216363,73480,4921761,6675986,36216313,3124200,249952,1422291,2380509,3973004,32199367,9975770,4690574,565000,64241,40120,130100,53731000,549655,597135,4865233,9889668,28549,96340,53792,49485,78966137,101302,8962023,5772854,3939774,765282,1166576,4873993,4319600,2765159,4245822,10471272,215324,132450322,57794,605765306,32494076,3285761,55226259,6749048,10753925,110162302,71660,2071146,1737593,12944287,3231885,15701749,52390,34692000,948296,1338686,13971543,3092373,2644940,2442473,3276362,1575442,4682100,23330,1168731,355050,2450747,7423573,256653,3800643,1402600,12031,5072873,542221,1661657,6074032,24885,17335236,873292,1379655,323524,890785,128722,59122839,11879566,10370281,131000,5294763,96600,62529409,13551346,10070,3985258,12889036,7000,380244,2319604,3058400,2772292,14753100,74711541,33642890,1707421,9098300,2441253,12745,640043,152534,7399811,25645,6078,21028841,43162098,2886600,133378674,4226380,6868001,5849,44984,58425,25178954,4872244,5984,1713184,2973542,19319,2229800,4027472,35184287,110985,12328380,8160560,7162414,6460000,2471,995364,41305651,3344985,6308,87700,2202422,79667,5556437,661194,39512945,6015,15824103,2450654,15681232,148354,10516738,56224000,48676939,213342000,5587373,2838213,13568700,90996,12280562,10364,46902295,89941,882005,8700,83767,149966,506812,7755019,4723368,6172535
1975,59230,68041,522571,14132019,16140252,5696117,2401108,2834136,26558,6050398,29640,26081880,13771400,7578903,6309,258789,247147,704591,53829,9794800,189139,76152535,135611,3980000,4914316,30329791,2995605,9360184,193000,107327250,372749,8720742,156223,3676308,23209200,7499931,4144061,13779193,1453650,25032227,917898537,10207459,14140,7521530,275651,24124651,14938,1991580,2057734,9290074,280450,19231,626503,5059861,226569,73923,5048499,6871698,36952499,3177300,213292,1432246,2421037,4072847,32975868,10042019,4711439,576000,66222,40826,133100,53997789,565590,647436,4897656,10099916,29038,95819,53721,49584,78682325,102110,9046542,5910462,4018826,767977,1200805,4973063,4395800,2857705,4255000,10531820,218031,135213602,59310,618922643,33467051,3354242,55571894,7030905,11117804,111573116,72289,2104879,1802960,13433414,3300684,16014030,53226,35281000,1006892,1369117,14157075,3161118,2691447,2461606,3305195,1616510,4729718,23413,1195487,358950,2568090,7603790,254331,3846519,1445600,12121,5317309,549000,1684000,6217503,25128,17687376,885461,1404403,327842,920160,132608,60678045,12130960,10432604,133000,5419038,99700,64427500,13664577,10384,4007313,13155605,7100,362730,2394739,3117800,2848211,15161199,76456121,33969240,1749172,9411090,2504074,12838,680919,164504,7431015,26423,6291,21245103,44336842,2935124,134293372,4356863,7207702,5873,44706,59626,25815144,4989168,6065,1722000,3030393,19738,2262600,4127771,35563535,112424,12707275,8192566,7406595,6403500,2527,1006931,42272000,3448869,6468,89200,2266744,81607,5703966,676582,40529798,6211,16122188,2523906,16147863,149130,10760703,56215000,48973428,215465000,5673472,2843540,13987696,92245,12674987,10533,48075207,94484,915325,8800,72071,150839,520864,7934497,4848130,6341797
